Product Name,Username,Review_Title,Review,Rating
['Flipkart SmartBuy 1000 W Dry Iron'],Amit Bhattacharya,Really Nice,It's just awesome. one month ago I brought this product. it's lightweight and works very smooth thank you Flipkart for this product. I love this product...,4
['Flipkart SmartBuy 1000 W Dry Iron'],danthala sridhar,Super,Super product good working faction heating and cut off led light indicated cast all so low to comparing another brand I like it,4
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Good quality product,the product is very nice and gives good service. But it heats quite fast so be careful on delicate clothes.,4
['Flipkart SmartBuy 1000 W Dry Iron'],Priya Singh,Pretty good,Nice light in weight and the cord is very well protected at the edge but warranty card is not available in the box and there is no box for the iron only the packing is there,4
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Very Good,"Good ,box was a heating only 10 to 15 seconds and very good flipkart product , but the iron box so sensitive product i think , but tha price Was a small price beast praise and good product , i like this product thank flipkart",4
['Flipkart SmartBuy 1000 W Dry Iron'],Deepak Salunke,Brilliant,This iron 1000 wt is very nice and press of clothing is good and structure of this iron is looking very gorgeous 🥰,5
['Flipkart SmartBuy 1000 W Dry Iron'],Susovan  Ghara,Classy product,Good product,5
['Flipkart SmartBuy 1000 W Dry Iron'],Sandeep  Yadav,Highly recommended,it's good Quality,5
['Flipkart SmartBuy 1000 W Dry Iron'],shiju shiju,Worth every penny,"awesome ,super",5
['Flipkart SmartBuy 1000 W Dry Iron'],Tarun Singhal,Value-for-money,its a good product specially when u get it on a discounted price. i got this iron in 292 rupees ( price adjusted with 10% cashback ) . this iron is little bit smaller in comparision with orpat which i m using right now. but in this price range it is a good option .,4
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Must buy!,I'm giving 5 star bcoz the product I'm buying is so awesome fantabulous and super fast delivery I'm liking flipkart,5
['Flipkart SmartBuy 1000 W Dry Iron'],Santhana Krishnan,Best in the market!,nice fast and handy iron. its not small or big but the typical size. go for it.,5
['Flipkart SmartBuy 1000 W Dry Iron'],Vijay Prabhat,Super!,"Very Nyc iron box at 325 Rs . Look Nice , Feature Nyc . Highly recommend for dry iron . I am using some of flipkart appliance it is very good .",5
['Flipkart SmartBuy 1000 W Dry Iron'],Allama Prabhu V,Brilliant,best product in the price range but look out for the heat adjustment of you set it right it will be perfect but if the heat becomes more than the dress is gone,5
['Flipkart SmartBuy 1000 W Dry Iron'],Sri Kanth,Best in the market!,really very good product iam in love flipkart iron box  and very light weight super  really awesome 100%  super,5
['Flipkart SmartBuy 1000 W Dry Iron'],Lovely Ram,Classy product,Just now I have received it. ....And I started videos record before the open of sill pack of iron. ....For safety from miss conducted products but it  becomes totally opposite of my thoughts and it makes me happy while having a good product from flip cart. ..I thanks to all the team of flip cart  to satisfy me nd my friends.        I would like to wish about this product must be work good and in proper way up to the the mark of  given warranty date. .....😊,5
['Flipkart SmartBuy 1000 W Dry Iron'],Binod  Thapa,Awesome,"Flipkart smart buying it's one of the trusted product,so I recommended to all buyers,Filpkart smart buy is one of the good product.",5
['Flipkart SmartBuy 1000 W Dry Iron'],Danish,Awesome,Light Weight -  Fast Heating - Good Temperature level at top  Best Buy.,5
['Flipkart SmartBuy 1000 W Dry Iron'],Saba Iqbal,Brilliant,"Light weight, comfortable ironing, worth for money, never thought it would be so good while ordering. Worth buying.",5
['Flipkart SmartBuy 1000 W Dry Iron'],Pankaj Ranjan Rout,Great product,"This is it means the look is just fantastic, quality is awesome and the price is unbelievable. Thanks to Flipkart for providing a best product with a reasonable price....Yes I recommend for all...Pankaj",5
['Flipkart SmartBuy 1000 W Dry Iron'],SURYA NANDAN KUMAR,Brilliant,it is one of the best quality product from flipkart I am 100% satisfied from this product.and also price is very good for this product.thanks flipkart,5
['Flipkart SmartBuy 1000 W Dry Iron'],Rudranil RC,Wonderful,"Decent Packaging, product looks good & working good... Delivery was prompt & on time.... As of now happy with it... Will give more review after using it for at least three months....",5
['Flipkart SmartBuy 1000 W Dry Iron'],Prashant  Pathak,Great product,very nice product. . . good better best..  i am use this  iron it is very good work,5
['Flipkart SmartBuy 1000 W Dry Iron'],Prateek Singh.,Fabulous!,Got it for Rs 350.. I don't think one can get better iron than than it at this price . It gets the work done satisfyingly. Light weight and easy to use.,5
['Flipkart SmartBuy 1000 W Dry Iron'],Dhruv  Joshi,Highly recommended,Nice iron gets hot fast. Good product at this price. Fulfils the purpose perfectly. You can purchase it as it is light weight,5
['Flipkart SmartBuy 1000 W Dry Iron'],Akhilesh Saxena,Terrific,Got this at 349rs beside the price its a good product easy to work with.. too good product,5
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Terrific purchase,very beautiful products and fast heat and light weight colour is Very nice overall is Very good,5
['Flipkart SmartBuy 1000 W Dry Iron'],Ashutosh Yadav,Perfect product!,Very Nice Product at very affordable price. This product is very easy to use &  easy to handle .,5
['Flipkart SmartBuy 1000 W Dry Iron'],Prashant  Padol,Terrific,I can say just Amazing product top classic so I can 5star for this product And I say to all people you must buy it.😘😘😘👌👌,5
['Flipkart SmartBuy 1000 W Dry Iron'],Rahul Mallick,Wonderful,Good Quality wire and electric equipment... But body is not good for long lasting..... Other wise heating power is to good....,5
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Just wow!,Very excellent product in a good price nd amazing iron thanx flipkart to add u r company titile i blind trust on ur company,5
['Flipkart SmartBuy 1000 W Dry Iron'],Pankaj  Sahu,Perfect product!,Flipkart Dry Iron is best Iron Compare to Other..It is very Cheaper to other. I got in 325 Rs..i. sale.Thank you Flipkart. Fast Delivery as Always.,5
['Flipkart SmartBuy 1000 W Dry Iron'],Gaurav Kumar,Simply awesome,I got this in 325 in offer and it's best in this price . looks r nice every think is fine . if u thinking buy in 500 price range then go for it,5
['Flipkart SmartBuy 1000 W Dry Iron'],Amol muley,Worth every penny,"very good...quality packaging and impressive product...heats up very quickly and very convenient to handle...with a price of around 300 inr, its  a must for every household...just be specially aware that the iron has to be set to specific temperature for every particular cloth type,or it may end up doing pretty damages to the cloth...the iron is suitable specially for bachelors and small families who are always in a hurry to get things done faster...",5
['Flipkart SmartBuy 1000 W Dry Iron'],Ashish  Arora,Perfect product!,this product is very good..... I'm very happy because I purchased this product from Flipkart nd this product is very good condition nd very good quality,5
['Flipkart SmartBuy 1000 W Dry Iron'],Akash  Vaish,Perfect product!,awesome product .by flipkart ..look awesome ..work awesome totaaly ists all awsome dont hesitate to bue it ....luckily I got it @325 only,5
['Flipkart SmartBuy 1000 W Dry Iron'],Devendra Golakoti,Terrific purchase,i love flipkart products because of quality is good even delivery is fast (or) slow i got this product for 449 .Heats so faster then cool down smoth ironing clothes. 5/5 rating totally good superb,5
['Flipkart SmartBuy 1000 W Dry Iron'],Mustakul Alom,Fabulous!,thanks to flipkart... I am very happy with this product..it is very good product...I bought this product at just Rs. 365... again I want to thank you so much flipkart for helping me to buy this product at this price...,5
['Flipkart SmartBuy 1000 W Dry Iron'],Naresh Pogula,Mind-blowing purchase,"The best product from Flipkart. Heating is very fast, light weight body and very long power cable flexible to use. simply loved it. worth for buying 365 Rs.",5
['Flipkart SmartBuy 1000 W Dry Iron'],Nishanth Stylish star,Terrific,"Its working fine , I will not sure about this is a  good product, because very  less weight only , I will use 1month and after I give correct review",5
['Flipkart SmartBuy 1000 W Dry Iron'],nitin  tambe,Just wow!,being fast hot it get low time to get ready most important it saves my time as well as electricity....... just go for it,5
['Flipkart SmartBuy 1000 W Dry Iron'],SAURBH  KUMAR,Simply awesome,"I got it at 415, lighter in weight then other , heating efficiency is also better then other . good in this price range",5
['Flipkart SmartBuy 1000 W Dry Iron'],Shashank Garg,Must buy!,It is very smooth in use and I loved the product very much. Made in india product is best,5
['Flipkart SmartBuy 1000 W Dry Iron'],Amit Samudra,Great product,best in the market at this range...as always happy with Flipkart specially appreciated Flipkart support team for their awesome support.,5
['Flipkart SmartBuy 1000 W Dry Iron'],Raju ji Mahla,Excellent,very good  prodact.im happy.   thank flipkart .. good & nice,5
['Flipkart SmartBuy 1000 W Dry Iron'],Harsha Palli,Fabulous!,Nice good working perfect I am happy with the product,5
['Flipkart SmartBuy 1000 W Dry Iron'],John Dj,Great product,Good product at this price all products from flipkart smart buy is worth excellent,5
['Flipkart SmartBuy 1000 W Dry Iron'],Raghavendra Mirajkar,Worth every penny,Flipkart SmartBuy brand is India's No1 brand  super fast shipping and delivered  100% Assured products  iron is best quality nice looking I am fully satisfied Thanku flipkart,5
['Flipkart SmartBuy 1000 W Dry Iron'],Kumudini  Verma,Wonderful,Amazing i never think that this will be that much good i used to firt time flipcart brand and i love it.,5
['Flipkart SmartBuy 1000 W Dry Iron'],Manjusha SP,Super!,I am updating this review. i used it for 2 months and it works perfectly fine. nice product. Good quality at this price. Thank you Flipkart ❤️,5
['Flipkart SmartBuy 1000 W Dry Iron'],Mahesh Kamalapur,Worth every penny,wow super value for money product what A time of delivery super one day delivery super,5
['Flipkart SmartBuy 1000 W Dry Iron'],Mohsin saifi,Best in the market!,i purchased this for 299. worth of money very good iron. i like it specifically its design delivery is very fast got it in two days..,5
['Flipkart SmartBuy 1000 W Dry Iron'],Suyash Chitnis,Great product,nice one ...gets hot earlier but not cool down..otherwise nice product..!!,5
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Great product,"Awesome Iron,l Live in hostel with 3 More persons so I buy this iron, it worked nicely ,heating is good.in this price I think it is best among all irons",5
['Flipkart SmartBuy 1000 W Dry Iron'],SURJEET KUMAR AJAD,Worth every penny,"It is very good, & after using 2 weeks I can say that it is trusted too. Nice product with good packing and also delivered on time.",5
['Flipkart SmartBuy 1000 W Dry Iron'],Ritesh Singh,Just wow!,Good product and delivery boy behave very good and good nature and honest man,5
['Flipkart SmartBuy 1000 W Dry Iron'],Naveen  Reddy,Super!,Edit : 13-8-2020Product is working great I definitely recommend this product,5
['Flipkart SmartBuy 1000 W Dry Iron'],Vivekraj Solanki,Awesome,very nice product.. easy to use and must buy... i hve buoght in only 252₹...       best budget iron ever with 2 year warranty... and value for money product.,5
['Flipkart SmartBuy 1000 W Dry Iron'],Adil Akbar,Highly recommended,"very nice product, looking well , work is very well",5
['Flipkart SmartBuy 1000 W Dry Iron'],Jeevan  Rajput,Mind-blowing purchase,i have used this product this amazing and working fine....its light weight and steam flow is good .....water flow is more uniform and its fetures is very good make the ironing experiance great FLIPKART service is very nice ...thanks too flipkart team......,5
['Flipkart SmartBuy 1000 W Dry Iron'],Alka  Gautam,Worth every penny,Nice structure and good performance... Feeling good while using... And looks sober.. Recomands to buy it.. Worth in price,5
['Flipkart SmartBuy 1000 W Dry Iron'],K Rameshor  Singh,Fabulous!,"Very nice & good product , light weight & material is very good. It's better than others. So please buy Flipkart Smart Buy 1000 W Dry Iron only.",5
['Flipkart SmartBuy 1000 W Dry Iron'],vivek yadav,Super!,nice iron better heating and aut off on over heta nice best in best iron,5
['Flipkart SmartBuy 1000 W Dry Iron'],Praphull Kumar,Simply awesome,"I'm purchasing Rs. 415, it is very useful for me to get the best price for the best decision. Very good heating. Nice working.....",5
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Worth every penny,Iron is of good quality as per my veiw.If u r looking for Iron ranging 400-600 then this is best choice.Enough wire with awesome color and good packing.,5
['Flipkart SmartBuy 1000 W Dry Iron'],Israr Ahmad,Must buy!,"Thanks flipkart for fast and safe delivery. Iron looks stylish,light weight,pretty handy and performance is superb..love it",5
['Flipkart SmartBuy 1000 W Dry Iron'],Anuj Kumar,Awesome,Good superb I like it wow,5
